date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:10:20	55229/55229	---MCZ	200	added ('OK')	text/html	date:Sat,%2014%20Sep%202024%2010:06:00%20GMT	https://ujjwl-145421854.hubspotpagebuilder.eu/blog/author/ujjwal-singh	C:/Users/91826/Desktop/clg/lfe/blog/blog/ujjwl-145421854.hubspotpagebuilder.eu/blog/author/ujjwal-singh.html	(from https://ujjwl-145421854.hubspotpagebuilder.eu/blog/understanding-the-right-to-freedom-of-speech-today)
16:10:21	0/0	---M--	301	error ('Moved%20Permanently')	text/plain	date:Sat,%2014%20Sep%202024%2010:40:20%20GMT	http://www.facebook.com/share.php?u=https://ujjwl-145421854.hubspotpagebuilder.eu/blog/understanding-the-right-to-freedom-of-speech-today	C:/Users/91826/Desktop/clg/lfe/blog/blog/www.facebook.com/share.efeaf.delayed	(from https://ujjwl-145421854.hubspotpagebuilder.eu/blog/understanding-the-right-to-freedom-of-speech-today)
16:10:25	522702/522702	---M-Z	200	added ('OK')	text/javascript	date:Sat,%2014%20Sep%202024%2010:40:18%20GMT	http://platform.linkedin.com/in.js	C:/Users/91826/Desktop/clg/lfe/blog/blog/platform.linkedin.com/in.js	(from https://ujjwl-145421854.hubspotpagebuilder.eu/blog/understanding-the-right-to-freedom-of-speech-today)
16:10:25	0/0	---M--	302	error ('Found')	text/html	date:Sat,%2014%20Sep%202024%2010:40:21%20GMT	https://www.facebook.com/share.php?u=https://ujjwl-145421854.hubspotpagebuilder.eu/blog/understanding-the-right-to-freedom-of-speech-today	C:/Users/91826/Desktop/clg/lfe/blog/blog/www.facebook.com/share.ffeaf.delayed	(from https://ujjwl-145421854.hubspotpagebuilder.eu/blog/understanding-the-right-to-freedom-of-speech-today)
16:10:26	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2014%20Sep%202024%2010:40:26%20GMT	http://www.linkedin.com/shareArticle?mini=true&url=https://ujjwl-145421854.hubspotpagebuilder.eu/blog/understanding-the-right-to-freedom-of-speech-today	C:/Users/91826/Desktop/clg/lfe/blog/blog/www.linkedin.com/shareArticle.10f96b.delayed	(from https://ujjwl-145421854.hubspotpagebuilder.eu/blog/understanding-the-right-to-freedom-of-speech-today)
16:10:27	70304/70304	---MCZ	200	added ('OK')	text/html	date:Sat,%2014%20Sep%202024%2010:40:25%20GMT	https://www.facebook.com/share_channel/?link=https%3A%2F%2Fujjwl-145421854.hubspotpagebuilder.eu%2Fblog%2Funderstanding-the-right-to-freedom-of-speech-today&app_id=966242223397117&source_surface=external_reshare&display&hashtag	C:/Users/91826/Desktop/clg/lfe/blog/blog/www.facebook.com/share_channel/index6ef3.html	(from https://ujjwl-145421854.hubspotpagebuilder.eu/blog/understanding-the-right-to-freedom-of-speech-today)
16:10:28	0/0	---M--	302	error ('Found')	text/html	date:Sat,%2014%20Sep%202024%2010:40:27%20GMT	https://www.linkedin.com/shareArticle?mini=true&url=https://ujjwl-145421854.hubspotpagebuilder.eu/blog/understanding-the-right-to-freedom-of-speech-today	C:/Users/91826/Desktop/clg/lfe/blog/blog/www.linkedin.com/shareArticle.11f96b.delayed	(from https://ujjwl-145421854.hubspotpagebuilder.eu/blog/understanding-the-right-to-freedom-of-speech-today)
16:10:30	51510/51510	---M-Z	200	added ('OK')	text/html	date:Thu,%2012%20Sep%202024%2001:14:53%20UTC	https://www.linkedin.com/uas/login?session_redirect=https%3A%2F%2Fwww.linkedin.com%2FshareArticle%3Fmini%3Dtrue%26url%3Dhttps%3A%2F%2Fujjwl-145421854.hubspotpagebuilder.eu%2Fblog%2Funderstanding-the-right-to-freedom-of-speech-today	C:/Users/91826/Desktop/clg/lfe/blog/blog/www.linkedin.com/uas/login3bff.html	(from https://ujjwl-145421854.hubspotpagebuilder.eu/blog/understanding-the-right-to-freedom-of-speech-today)
16:10:32	308/308	---M-Z	302	error ('Found')	text/html	date:Sat,%2014%20Sep%202024%2010:40:31%20GMT	https://twitter.com/intent/tweet?url=https://ujjwl-145421854.hubspotpagebuilder.eu/blog/understanding-the-right-to-freedom-of-speech-today	C:/Users/91826/Desktop/clg/lfe/blog/blog/twitter.com/intent/tweet.130d05.delayed	(from https://ujjwl-145421854.hubspotpagebuilder.eu/blog/understanding-the-right-to-freedom-of-speech-today)
16:10:34	491/491	---M--	308	error ('Permanent%20Redirect')	text/html	date:Sat,%2014%20Sep%202024%2010:40:34%20GMT	http://pinterest.com/pin/create/link/?url=https://ujjwl-145421854.hubspotpagebuilder.eu/blog/understanding-the-right-to-freedom-of-speech-today	C:/Users/91826/Desktop/clg/lfe/blog/blog/pinterest.com/pin/create/link/index0d05.html	(from https://ujjwl-145421854.hubspotpagebuilder.eu/blog/understanding-the-right-to-freedom-of-speech-today)
16:10:34	3082/3082	---MCZ	200	added ('OK')	text/html	date:Sat,%2014%20Sep%202024%2010:40:33%20GMT	https://x.com/intent/tweet?url=https://ujjwl-145421854.hubspotpagebuilder.eu/blog/understanding-the-right-to-freedom-of-speech-today	C:/Users/91826/Desktop/clg/lfe/blog/blog/x.com/intent/tweet0d05.html	(from https://ujjwl-145421854.hubspotpagebuilder.eu/blog/understanding-the-right-to-freedom-of-speech-today)
16:10:35	219901/219901	---MCZ	200	added ('OK')	application/javascript	etag:W/%22f3b3bcda4da7f051caeca57d86f0de11%22	https://ujjwl-145421854.hubspotpagebuilder.eu/hs/hsstatic/cms-free-branding-lib/static-1.267/js/index.js	C:/Users/91826/Desktop/clg/lfe/blog/blog/ujjwl-145421854.hubspotpagebuilder.eu/hs/hsstatic/cms-free-branding-lib/static-1.267/js/index.js	(from https://ujjwl-145421854.hubspotpagebuilder.eu/blog/understanding-the-right-to-freedom-of-speech-today)
16:10:36	13732/13732	---MCZ	200	added ('OK')	application/javascript	etag:W/%2226c40482b55a607cd44486a2958741d4%22	https://static.hsappstatic.net/content-cwv-embed/static-1.971/embed.js	C:/Users/91826/Desktop/clg/lfe/blog/blog/static.hsappstatic.net/content-cwv-embed/static-1.971/embed.js	(from https://ujjwl-145421854.hubspotpagebuilder.eu/blog/understanding-the-right-to-freedom-of-speech-today)
16:10:37	1243/1243	---MCZ	200	added ('OK')	application/javascript	etag:W/%2261ca66de658cab9587e4636894680d5d%22	https://ujjwl-145421854.hubspotpagebuilder.eu/hs/hsstatic/cos-i18n/static-1.53/bundles/project.js	C:/Users/91826/Desktop/clg/lfe/blog/blog/ujjwl-145421854.hubspotpagebuilder.eu/hs/hsstatic/cos-i18n/static-1.53/bundles/project.js	(from https://ujjwl-145421854.hubspotpagebuilder.eu/blog/understanding-the-right-to-freedom-of-speech-today)
16:10:39	8196/8196	---MCZ	200	added ('OK')	application/javascript	etag:W/%222455723721db341ff86a4f64384a9c0d%22	https://ujjwl-145421854.hubspotpagebuilder.eu/hs/hsstatic/AsyncSupport/static-1.122/js/comment_listing_asset.js	C:/Users/91826/Desktop/clg/lfe/blog/blog/ujjwl-145421854.hubspotpagebuilder.eu/hs/hsstatic/AsyncSupport/static-1.122/js/comment_listing_asset.js	(from https://ujjwl-145421854.hubspotpagebuilder.eu/blog/understanding-the-right-to-freedom-of-speech-today)
16:10:40	494391/494391	---MCZ	200	added ('OK')	application/javascript	etag:W/%226baa082bb753a0d6d6e8a595ed1a8003%22	https://ujjwl-145421854.hubspotpagebuilder.eu/_hcms/forms/v2.js	C:/Users/91826/Desktop/clg/lfe/blog/blog/ujjwl-145421854.hubspotpagebuilder.eu/_hcms/forms/v2.js	(from https://ujjwl-145421854.hubspotpagebuilder.eu/blog/understanding-the-right-to-freedom-of-speech-today)
16:10:40	1467/1467	---MCZ	200	added ('OK')	application/javascript	date:Sat,%2014%20Sep%202024%2010:06:22%20GMT	https://ujjwl-145421854.hubspotpagebuilder.eu/hs/scriptloader/145421854.js	C:/Users/91826/Desktop/clg/lfe/blog/blog/ujjwl-145421854.hubspotpagebuilder.eu/hs/scriptloader/145421854.js	(from https://ujjwl-145421854.hubspotpagebuilder.eu/blog/understanding-the-right-to-freedom-of-speech-today)
16:10:43	0/0	---M--	301	error ('Moved%20Permanently')	text/plain	date:Sat,%2014%20Sep%202024%2010:40:43%20GMT	http://connect.facebook.net/en_US/sdk.js	C:/Users/91826/Desktop/clg/lfe/blog/blog/connect.facebook.net/en_US/sdk.1c.delayed	(from https://ujjwl-145421854.hubspotpagebuilder.eu/blog/understanding-the-right-to-freedom-of-speech-today)
16:10:43	12208/12208	---MCZ	200	added ('OK')	application/javascript	etag:W/%223ef0deda0631561665e95645daf500a2%22	https://ujjwl-145421854.hubspotpagebuilder.eu/hs/hsstatic/HubspotToolsMenu/static-1.354/js/index.js	C:/Users/91826/Desktop/clg/lfe/blog/blog/ujjwl-145421854.hubspotpagebuilder.eu/hs/hsstatic/HubspotToolsMenu/static-1.354/js/index.js	(from https://ujjwl-145421854.hubspotpagebuilder.eu/blog/understanding-the-right-to-freedom-of-speech-today)
16:10:45	3093/3093	---M-Z	200	added ('OK')	application/x-javascript	etag:%22d5ee4d377f4f4a2ab63b7e7ff8aa0041%22	https://connect.facebook.net/en_US/sdk.js	C:/Users/91826/Desktop/clg/lfe/blog/blog/connect.facebook.net/en_US/sdk.js	(from https://ujjwl-145421854.hubspotpagebuilder.eu/blog/understanding-the-right-to-freedom-of-speech-today)
16:10:46	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2014%20Sep%202024%2010:40:46%20GMT	http://static.hsappstatic.net/pictos_images/static-1.40/img/pictos-1-png/16/pictos-set1-21.png	C:/Users/91826/Desktop/clg/lfe/blog/blog/static.hsappstatic.net/pictos_images/static-1.40/img/pictos-1-png/16/pictos-set1-21.1f.delayed	(from https://ujjwl-145421854.hubspotpagebuilder.eu/hs/hsstatic/AsyncSupport/static-1.122/sass/comments_listing_asset.css)
16:10:46	93065/93065	---M-Z	200	added ('OK')	application/javascript	etag:%22824beb891744db98ccbd3a456e59e0f7+gzip%22	https://platform.twitter.com/widgets.js	C:/Users/91826/Desktop/clg/lfe/blog/blog/platform.twitter.com/widgets.js	(from https://ujjwl-145421854.hubspotpagebuilder.eu/blog/understanding-the-right-to-freedom-of-speech-today)
16:10:47	187/187	---M--	200	added ('OK')	image/png	etag:%22db6b3db47de6f28259ac3c2d361fcd5d%22	https://static.hsappstatic.net/pictos_images/static-1.40/img/pictos-1-png/16/pictos-set1-21.png	C:/Users/91826/Desktop/clg/lfe/blog/blog/static.hsappstatic.net/pictos_images/static-1.40/img/pictos-1-png/16/pictos-set1-21.png	(from https://ujjwl-145421854.hubspotpagebuilder.eu/hs/hsstatic/AsyncSupport/static-1.122/sass/comments_listing_asset.css)
16:10:48	1504/1504	---MCZ	200	added ('OK')	text/css	etag:W/%22b3530ba932f7b5487249d1e5cae8fa85%22	https://cdn2.hubspot.net/hub/-1/hub_generated/module_assets/-47160443985/1726238240556/module_-47160443985_Pagination.min.css	C:/Users/91826/Desktop/clg/lfe/blog/blog/cdn2.hubspot.net/hub/-1/hub_generated/module_assets/-47160443985/1726238240556/module_-47160443985_Pagination.min.css	(from https://ujjwl-145421854.hubspotpagebuilder.eu/blog/author/ujjwal-singh)
16:10:48	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2014%20Sep%202024%2010:40:48%20GMT	http://7528315.fs1.hubspotusercontent-na1.net/hubfs/7528315/raw_assets/public/mV0_d-cms-growth-theme_hubspot/growth/images/blog-banner.jpg	C:/Users/91826/Desktop/clg/lfe/blog/blog/7528315.fs1.hubspotusercontent-na1.net/hubfs/7528315/raw_assets/public/mV0_d-cms-growth-theme_hubspot/growth/images/blog-banner.22.delayed	(from https://ujjwl-145421854.hubspotpagebuilder.eu/blog/author/ujjwal-singh)
16:10:51	256438/256438	---M--	200	added ('OK')	image/jpeg	etag:%225568e12c2834602dfc36c06c08d4a55d%22	https://7528315.fs1.hubspotusercontent-na1.net/hubfs/7528315/raw_assets/public/mV0_d-cms-growth-theme_hubspot/growth/images/blog-banner.jpg	C:/Users/91826/Desktop/clg/lfe/blog/blog/7528315.fs1.hubspotusercontent-na1.net/hubfs/7528315/raw_assets/public/mV0_d-cms-growth-theme_hubspot/growth/images/blog-banner.jpg	(from https://ujjwl-145421854.hubspotpagebuilder.eu/blog/author/ujjwal-singh)
16:10:53	893/893	---MCZ	200	added ('OK')	text/plain	date:Sat,%2014%20Sep%202024%2010:40:51%20GMT	https://www.facebook.com/robots.txt		(from https://ujjwl-145421854.hubspotpagebuilder.eu/blog/understanding-the-right-to-freedom-of-speech-today)
16:10:53	8910/8910	---M-Z	200	added ('OK')	text/css	date:Mon,%2001%20Jan%202001%2008:00:00%20GMT	https://static.xx.fbcdn.net/rsrc.php/v3/yz/l/0,cross/2TWTY1KrqXh.css?_nc_x=Ij3Wp8lg5Kz	C:/Users/91826/Desktop/clg/lfe/blog/blog/static.xx.fbcdn.net/rsrc.php/v3/yz/l/0,cross/2TWTY1KrqXh1f8e.css	(from https://www.facebook.com/share_channel/?link=https%3A%2F%2Fujjwl-145421854.hubspotpagebuilder.eu%2Fblog%2Funderstanding-the-right-to-freedom-of-speech-today&app_id=966242223397117&source_surface=external_reshare&display&hashtag)
16:10:54	67360/67360	---MCZ	200	added ('OK')	text/html	date:Sat,%2014%20Sep%202024%2010:40:53%20GMT	https://www.facebook.com/share_channel/?link=https%3A%2F%2Fujjwl-145421854.hubspotpagebuilder.eu%2Fblog%2Funderstanding-the-right-to-freedom-of-speech-today&app_id=966242223397117&source_surface=external_reshare&display&hashtag&_fb_noscript=1	C:/Users/91826/Desktop/clg/lfe/blog/blog/www.facebook.com/share_channel/indexfa1a.html	(from https://www.facebook.com/share_channel/?link=https%3A%2F%2Fujjwl-145421854.hubspotpagebuilder.eu%2Fblog%2Funderstanding-the-right-to-freedom-of-speech-today&app_id=966242223397117&source_surface=external_reshare&display&hashtag)
16:10:54	41911/41911	---M-Z	200	added ('OK')	text/css	date:Mon,%2001%20Jan%202001%2008:00:00%20GMT	https://static.xx.fbcdn.net/rsrc.php/v3/yl/l/0,cross/mmz31x_QAen.css?_nc_x=Ij3Wp8lg5Kz	C:/Users/91826/Desktop/clg/lfe/blog/blog/static.xx.fbcdn.net/rsrc.php/v3/yl/l/0,cross/mmz31x_QAen1f8e.css	(from https://www.facebook.com/share_channel/?link=https%3A%2F%2Fujjwl-145421854.hubspotpagebuilder.eu%2Fblog%2Funderstanding-the-right-to-freedom-of-speech-today&app_id=966242223397117&source_surface=external_reshare&display&hashtag)
16:10:54	23312/23312	---M-Z	200	added ('OK')	text/css	date:Mon,%2001%20Jan%202001%2008:00:00%20GMT	https://static.xx.fbcdn.net/rsrc.php/v3/y9/l/0,cross/er7eLHf08R9.css?_nc_x=Ij3Wp8lg5Kz	C:/Users/91826/Desktop/clg/lfe/blog/blog/static.xx.fbcdn.net/rsrc.php/v3/y9/l/0,cross/er7eLHf08R91f8e.css	(from https://www.facebook.com/share_channel/?link=https%3A%2F%2Fujjwl-145421854.hubspotpagebuilder.eu%2Fblog%2Funderstanding-the-right-to-freedom-of-speech-today&app_id=966242223397117&source_surface=external_reshare&display&hashtag)
16:10:54	811/811	---M-Z	200	added ('OK')	text/css	date:Mon,%2001%20Jan%202001%2008:00:00%20GMT	https://static.xx.fbcdn.net/rsrc.php/v3/y0/l/0,cross/8ENYH16uMP3.css?_nc_x=Ij3Wp8lg5Kz	C:/Users/91826/Desktop/clg/lfe/blog/blog/static.xx.fbcdn.net/rsrc.php/v3/y0/l/0,cross/8ENYH16uMP31f8e.css	(from https://www.facebook.com/share_channel/?link=https%3A%2F%2Fujjwl-145421854.hubspotpagebuilder.eu%2Fblog%2Funderstanding-the-right-to-freedom-of-speech-today&app_id=966242223397117&source_surface=external_reshare&display&hashtag)
16:10:55	431872/431872	---M-Z	200	added ('OK')	application/x-javascript	date:Mon,%2001%20Jan%202001%2008:00:00%20GMT	https://static.xx.fbcdn.net/rsrc.php/v3/y4/r/V2jz_gSOAop.js?_nc_x=Ij3Wp8lg5Kz	C:/Users/91826/Desktop/clg/lfe/blog/blog/static.xx.fbcdn.net/rsrc.php/v3/y4/r/V2jz_gSOAop1f8e.js	(from https://www.facebook.com/share_channel/?link=https%3A%2F%2Fujjwl-145421854.hubspotpagebuilder.eu%2Fblog%2Funderstanding-the-right-to-freedom-of-speech-today&app_id=966242223397117&source_surface=external_reshare&display&hashtag)
16:10:55	59316/59316	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2014%20Sep%202024%2010:40:55%20GMT	https://www.facebook.com/share_channel/help/637205020878504	C:/Users/91826/Desktop/clg/lfe/blog/blog/www.facebook.com/share_channel/help/637205020878504	(from https://www.facebook.com/share_channel/?link=https%3A%2F%2Fujjwl-145421854.hubspotpagebuilder.eu%2Fblog%2Funderstanding-the-right-to-freedom-of-speech-today&app_id=966242223397117&source_surface=external_reshare&display&hashtag)
16:10:56	0/0	---M--	302	error ('Found')	text/html	date:Sat,%2014%20Sep%202024%2010:40:56%20GMT	https://facebook.com/security/hsts-pixel.gif?c=3.2.5	C:/Users/91826/Desktop/clg/lfe/blog/blog/facebook.com/security/hsts-pixel.2a88fa.delayed	(from https://www.facebook.com/share_channel/?link=https%3A%2F%2Fujjwl-145421854.hubspotpagebuilder.eu%2Fblog%2Funderstanding-the-right-to-freedom-of-speech-today&app_id=966242223397117&source_surface=external_reshare&display&hashtag)
16:10:57	0/0	---M--	302	error ('Found')	text/html	date:Sat,%2014%20Sep%202024%2010:40:57%20GMT	https://fbcdn.net/security/hsts-pixel.gif?c=2.5	C:/Users/91826/Desktop/clg/lfe/blog/blog/fbcdn.net/security/hsts-pixel.2b6ede.delayed	(from https://www.facebook.com/share_channel/?link=https%3A%2F%2Fujjwl-145421854.hubspotpagebuilder.eu%2Fblog%2Funderstanding-the-right-to-freedom-of-speech-today&app_id=966242223397117&source_surface=external_reshare&display&hashtag)
16:10:59	0/0	---M--	302	error ('Found')	text/html	date:Sat,%2014%20Sep%202024%2010:40:58%20GMT	https://fbsbx.com/security/hsts-pixel.gif?c=5	C:/Users/91826/Desktop/clg/lfe/blog/blog/fbsbx.com/security/hsts-pixel.2c6882.delayed	(from https://www.facebook.com/share_channel/?link=https%3A%2F%2Fujjwl-145421854.hubspotpagebuilder.eu%2Fblog%2Funderstanding-the-right-to-freedom-of-speech-today&app_id=966242223397117&source_surface=external_reshare&display&hashtag)
16:10:59	43/43	---M-Z	200	added ('OK')	image/gif	date:Sat,%2014%20Sep%202024%2010:40:59%20GMT	https://connect.facebook.net/security/hsts-pixel.gif	C:/Users/91826/Desktop/clg/lfe/blog/blog/connect.facebook.net/security/hsts-pixel.gif	(from https://www.facebook.com/share_channel/?link=https%3A%2F%2Fujjwl-145421854.hubspotpagebuilder.eu%2Fblog%2Funderstanding-the-right-to-freedom-of-speech-today&app_id=966242223397117&source_surface=external_reshare&display&hashtag)
16:11:00	58969/58969	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2014%20Sep%202024%2010:41:00%20GMT	https://www.facebook.com/share_channel/rnamK1	C:/Users/91826/Desktop/clg/lfe/blog/blog/www.facebook.com/share_channel/rnamK1.2e.delayed	(from https://www.facebook.com/share_channel/?link=https%3A%2F%2Fujjwl-145421854.hubspotpagebuilder.eu%2Fblog%2Funderstanding-the-right-to-freedom-of-speech-today&app_id=966242223397117&source_surface=external_reshare&display&hashtag)
16:11:00	50130/50130	---M-Z	200	added ('OK')	application/x-javascript	date:Mon,%2001%20Jan%202001%2008:00:00%20GMT	https://static.xx.fbcdn.net/rsrc.php/v3ij9m4/yp/l/en_GB/-YM6xHK3ujE.js?_nc_x=Ij3Wp8lg5Kz	C:/Users/91826/Desktop/clg/lfe/blog/blog/static.xx.fbcdn.net/rsrc.php/v3ij9m4/yp/l/en_GB/-YM6xHK3ujE1f8e.js	(from https://www.facebook.com/share_channel/?link=https%3A%2F%2Fujjwl-145421854.hubspotpagebuilder.eu%2Fblog%2Funderstanding-the-right-to-freedom-of-speech-today&app_id=966242223397117&source_surface=external_reshare&display&hashtag)
16:11:00	46741/46741	---M-Z	200	added ('OK')	application/x-javascript	date:Mon,%2001%20Jan%202001%2008:00:00%20GMT	https://static.xx.fbcdn.net/rsrc.php/v3/yQ/r/cVK90h5GB2a.js?_nc_x=Ij3Wp8lg5Kz	C:/Users/91826/Desktop/clg/lfe/blog/blog/static.xx.fbcdn.net/rsrc.php/v3/yQ/r/cVK90h5GB2a1f8e.js	(from https://www.facebook.com/share_channel/?link=https%3A%2F%2Fujjwl-145421854.hubspotpagebuilder.eu%2Fblog%2Funderstanding-the-right-to-freedom-of-speech-today&app_id=966242223397117&source_surface=external_reshare&display&hashtag)
16:11:01	24040/24040	---M-Z	200	added ('OK')	application/x-javascript	date:Mon,%2001%20Jan%202001%2008:00:00%20GMT	https://static.xx.fbcdn.net/rsrc.php/v3/yK/r/0nzLGKQRg3F.js?_nc_x=Ij3Wp8lg5Kz	C:/Users/91826/Desktop/clg/lfe/blog/blog/static.xx.fbcdn.net/rsrc.php/v3/yK/r/0nzLGKQRg3F1f8e.js	(from https://www.facebook.com/share_channel/?link=https%3A%2F%2Fujjwl-145421854.hubspotpagebuilder.eu%2Fblog%2Funderstanding-the-right-to-freedom-of-speech-today&app_id=966242223397117&source_surface=external_reshare&display&hashtag)
